"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/13/2026","4/13/2026","4/13/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$131.20"
"4/8/2026","4/8/2026","4/8/2026","EQPT","Stock Lending","SLIP","","","$0.01"
"4/1/2026","4/1/2026","4/1/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($286.45)"
"3/31/2026","3/31/2026","3/31/2026","","Brokerage-held Cash Interest Payment","INT","","","$0.32"
"3/31/2026","3/31/2026","3/31/2026","","Interest Payment","INT","","","$0.05"
"3/31/2026","3/31/2026","3/31/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($120.90)"
"3/30/2026","3/30/2026","3/30/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$76.25"
"3/27/2026","3/27/2026","3/30/2026","RXRX","RXRX 4/2/2026 Put $3.50","STC","1","$0.52","$51.95"
"3/26/2026","3/26/2026","3/26/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$86.00"
"3/25/2026","3/25/2026","3/25/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$55.80"
"3/25/2026","3/25/2026","3/26/2026","","ACH Deposit","ACH","","","$100.00"
"3/24/2026","3/24/2026","3/24/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($331.92)"
"3/24/2026","3/24/2026","3/24/2026","","Cash reward","MISC","","","$1.00"
"3/24/2026","3/24/2026","3/24/2026","","Crypto deposit bonus","MISC","","","$2.36"
"3/23/2026","3/23/2026","3/23/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($14.25)"
"3/23/2026","3/23/2026","3/23/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($205.65)"
"3/20/2026","3/20/2026","3/20/2026","","Interest Payment","INT","","","$0.02"
"3/20/2026","3/20/2026","3/23/2026","","ACH Deposit","ACH","","","$150.00"
"3/20/2026","3/20/2026","3/20/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$121.50"
"3/19/2026","3/19/2026","3/20/2026","GT","GT 1/21/2028 Call $5.00","BTO","2","$2.60","($520.08)"
"3/19/2026","3/19/2026","3/19/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$5.40"
"3/19/2026","3/19/2026","3/20/2026","","ACH Deposit","ACH","","","$700.00"
"3/19/2026","3/19/2026","3/20/2026","","ACH Deposit","ACH","","","$300.00"
"3/18/2026","3/18/2026","3/19/2026","EQPT","EquipmentShare.com
CUSIP: 29445S100","Sell","1","$26.25","$26.25"
"3/12/2026","3/12/2026","3/13/2026","SPY","SPY 3/12/2026 Call $667.00","STC","1","$1.64","$163.95"
"3/12/2026","3/12/2026","3/13/2026","SPY","SPY 3/12/2026 Call $667.00","BTO","1","$1.51","($151.04)"
"3/12/2026","3/12/2026","3/13/2026","RXRX","RXRX 4/2/2026 Put $3.50","BTO","1","$0.39","($39.04)"
"3/11/2026","3/11/2026","3/11/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$288.00"
"3/9/2026","3/9/2026","3/9/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($100.80)"
"3/9/2026","3/9/2026","3/10/2026","","ACH Deposit","ACH","","","$100.00"
"3/9/2026","3/9/2026","3/10/2026","AAPL","AAPL 3/9/2026 Call $257.50","STC","2","$0.45","$89.91"
"3/9/2026","3/9/2026","3/10/2026","AAPL","AAPL 3/9/2026 Call $257.50","BTO","1","$0.35","($35.04)"
"3/9/2026","3/9/2026","3/10/2026","AAPL","AAPL 3/9/2026 Call $257.50","BTO","1","$0.35","($35.04)"
"3/9/2026","3/9/2026","3/9/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$97.00"
"3/6/2026","3/6/2026","3/6/2026","EQPT","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","DLB","Stock Lending","SLIP","","","$0.01"
"3/5/2026","3/5/2026","3/5/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($56.74)"
"3/4/2026","3/4/2026","3/4/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$6.84"
"3/3/2026","3/3/2026","3/3/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$2.28"
"2/27/2026","2/27/2026","2/27/2026","","Brokerage-held Cash Interest Payment","INT","","","$0.01"
"2/27/2026","2/27/2026","2/27/2026","","Interest Payment","INT","","","$0.08"
"2/24/2026","2/24/2026","2/24/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($15.00)"
"2/20/2026","2/20/2026","2/20/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","$10.00"
