"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/13/2026","4/13/2026","4/14/2026","RXRX","RXRX 4/24/2026 Call $3.50","STO","5","$0.15","$74.77"
"4/13/2026","4/13/2026","4/14/2026","NVDA","NVIDIA
CUSIP: 67066G104","Sell","14","$185.60","$2,598.34"
"3/27/2026","3/27/2026","3/30/2026","RXRX","Option Expiration for RXRX 3/27/2026 Call $3.50","OEXP","9","",""
"3/20/2026","3/20/2026","3/23/2026","UAMY","Option Expiration for UAMY 3/20/2026 Call $11.00","OEXP","2","",""
"3/19/2026","3/19/2026","3/20/2026","AAPL","Apple
CUSIP: 037833100","Buy","0.248462","$247.92","($61.60)"
"3/18/2026","3/18/2026","3/19/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","6","$180.24","($1,081.44)"
"3/18/2026","3/18/2026","3/19/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","8","$180.10","($1,440.80)"
"3/17/2026","3/17/2026","3/18/2026","TME","Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares
CUSIP: 88034P109","Sell","65","$11.80","$767.21"
"3/17/2026","3/17/2026","3/18/2026","TME","Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares
CUSIP: 88034P109","Buy","25","$14.52","($363.00)"
"3/17/2026","3/17/2026","3/18/2026","TME","Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares
CUSIP: 88034P109","Buy","40","$14.64","($585.60)"
"3/16/2026","3/16/2026","3/17/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","6","$3.40","($20.37)"
"3/16/2026","3/16/2026","3/17/2026","SLV","SLV 9/30/2026 Call $73.00","STC","2","$12.95","$2,589.91"
"3/16/2026","3/16/2026","3/17/2026","UAMY","UAMY 3/20/2026 Call $11.00","STO","2","$0.60","$119.91"
"3/13/2026","3/13/2026","3/16/2026","UAMY","United States Antimony
CUSIP: 911549103","Buy","28","$9.06","($253.68)"
"3/13/2026","3/13/2026","3/16/2026","RXRX","RXRX 3/13/2026 Put $3.50","STC","3","$0.12","$35.87"
"3/13/2026","3/13/2026","3/16/2026","RXRX","RXRX 3/13/2026 Put $3.50","STC","2","$0.12","$23.91"
"3/13/2026","3/13/2026","3/16/2026","UAMY","UAMY 3/27/2026 Call $10.50","BTC","1","$0.55","($55.04)"
"3/13/2026","3/13/2026","3/16/2026","SLV","SLV 9/30/2026 Call $73.00","BTO","2","$13.75","($2,750.08)"
"3/13/2026","3/13/2026","3/16/2026","UAMY","UAMY 3/27/2026 Call $9.50","BTC","1","$0.83","($83.04)"
"3/12/2026","3/12/2026","3/13/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109","Buy","20","$75.60","($1,512.00)"
"3/12/2026","3/12/2026","3/13/2026","AAPL","Apple
CUSIP: 037833100","Buy","10","$255.85","($2,558.50)"
"3/11/2026","3/11/2026","3/12/2026","CRWV","CoreWeave
CUSIP: 21873S108","Sell","3","$81.68","$245.04"
"3/10/2026","3/10/2026","3/11/2026","WM","WM 3/20/2026 Call $240.00","STC","1","$1.90","$189.95"
